operation_id,machine_id,start_time
0,1,19
1,1,32
2,2,134
3,2,151
4,2,65
5,0,81
6,2,83
7,0,170
8,0,11
9,1,43
10,1,90
11,2,165
12,0,120
13,1,137
14,1,147
15,1,172
16,2,16
17,2,234
18,2,262
19,0,280
20,0,6
21,1,13
22,2,22
23,1,54
24,0,108
25,2,120
26,2,132
27,2,181
28,0,7
29,2,11
30,1,17
31,1,152
32,0,5
33,2,91
34,0,106
35,1,223
36,1,64
37,1,77
38,0,137
39,0,159
40,1,34
41,2,198
42,1,222
43,2,223
44,2,28
45,0,44
46,2,56
47,0,65
