operation_id,machine_id,start_time
0,1,8
1,1,40
2,0,57
3,0,69
4,2,28
5,1,36
6,0,40
7,3,43
8,0,17
9,2,21
10,2,96
11,0,136
12,1,63
13,0,75
14,0,91
15,3,96
16,2,36
17,0,46
18,3,57
19,3,106
20,2,115
21,1,131
22,1,149
23,1,169
24,3,47
25,0,154
26,0,173
27,3,183
28,2,10
29,2,78
30,1,96
31,3,131
32,1,49
33,2,61
34,1,62
35,3,63
36,2,22
37,2,62
38,3,122
39,0,131
