operation_id,machine_id,start_time
0,4,18
1,0,29
2,3,84
3,3,99
4,1,111
5,2,51
6,1,60
7,1,73
8,0,85
9,1,128
10,2,60
11,3,73
12,4,101
13,0,121
14,0,131
15,0,20
16,0,143
17,0,163
18,0,174
19,2,237
20,2,73
21,3,161
22,3,170
23,3,175
24,2,191
25,1,6
26,4,36
27,3,82
28,4,84
29,1,101
30,1,9
31,4,28
32,0,36
33,2,43
34,2,49
35,1,172
36,2,196
37,0,204
38,4,205
39,2,225
40,1,141
41,3,160
42,1,161
43,4,172
44,4,181
45,0,205
46,2,257
47,0,266
48,1,273
49,0,276
